PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0107000	0	6.787595185	3.443382569	3.365164501	1.225243761	0
PF3D7_0107100	1.422825917	1.93931291	3.443382569	1.68258225	1.225243761	6.12196951
PF3D7_0107200	1.422825917	2.908969365	0	0.420645563	20.82914394	7.142297761
PF3D7_0107300	2.845651833	3.87862582	0	1.261936688	20.82914394	21.42689328
PF3D7_0107400	1.422825917	0	1.14779419	0.841291125	0	1.020328252
PF3D7_0107500	18.49673691	9.69656455	6.886765138	5.047746751	17.15341266	17.34558028
PF3D7_0107600	4.26847775	2.908969365	5.738970948	1.68258225	35.53206908	25.50820629
PF3D7_0107700	27.03369241	32.96831947	115.9272131	45.00907519	115.1729136	99.99216866
PF3D7_0107800	1.422825917	2.908969365	1.14779419	6.730329001	0	3.060984755
PF3D7_0107900	0	0	2.295588379	1.68258225	0	0
PF3D7_0108000	1.422825917	0.969656455	12.62573609	7.571620126	0	1.020328252
PF3D7_0108100	0	1.93931291	3.443382569	1.261936688	0	2.040656503
PF3D7_0108300	24.18804058	13.57519037	16.06911865	10.0954935	15.9281689	28.56919105
PF3D7_0108400.1	4.26847775	0.969656455	1.14779419	0.841291125	2.450487523	1.020328252
PF3D7_0108400.2	0	0	0	0	0	0
PF3D7_0108500	5.691303666	0	0	0.420645563	0	0
PF3D7_0108600	4.26847775	0	3.443382569	2.523873375	0	0
PF3D7_0108700	1.422825917	1.93931291	0	6.309683438	1.225243761	10.20328252
PF3D7_0108800	18.49673691	22.30209846	0	0.420645563	4.900975045	2.040656503
PF3D7_0108900	38.41629975	75.63320349	0	0	4.900975045	3.060984755
PF3D7_0109000	8.536955499	44.60419693	0	0.841291125	11.02719385	15.30492377
PF3D7_0109100	1.422825917	10.666221	1.14779419	2.944518938	3.675731284	1.020328252
PF3D7_0109200	0	0	3.443382569	1.261936688	1.225243761	0
PF3D7_0109300	1.422825917	10.666221	3.443382569	6.309683438	0	0
PF3D7_0109400	1.422825917	6.787595185	18.36470703	22.29421482	2.450487523	3.060984755
PF3D7_0109500	2.845651833	3.87862582	1.14779419	1.261936688	1.225243761	2.040656503
PF3D7_0109600	0	0.969656455	2.295588379	1.68258225	0	0
PF3D7_0109700	0	0	0	1.261936688	0	0
PF3D7_0109800	5.691303666	0	8.034559327	7.571620126	0	0
PF3D7_0109900.1	2.845651833	4.848282275	1.14779419	0.841291125	1.225243761	0
PF3D7_0109900.2	0	0	0	0	0	0
PF3D7_0110000	4.26847775	18.42347264	2.295588379	1.261936688	2.450487523	1.020328252
PF3D7_0110100	9.959781416	10.666221	1.14779419	2.523873375	2.450487523	3.060984755
PF3D7_0110200	0	0	0	1.261936688	1.225243761	0
PF3D7_0110300	0	2.908969365	1.14779419	8.412911251	4.900975045	2.040656503
PF3D7_0110400	2.845651833	0	5.738970948	5.889037876	0	0
PF3D7_0110500	4.26847775	4.848282275	4.591176758	4.627101188	6.126218807	4.081313006
PF3D7_0110600	58.33586258	46.54350984	73.45882813	39.12003732	73.51462568	71.42297761
PF3D7_0110700	8.536955499	7.75725164	3.443382569	4.206455626	0	1.020328252
PF3D7_0110800	1.422825917	3.87862582	1.14779419	0.841291125	0	3.060984755
PF3D7_0110900	4.26847775	0.969656455	9.182353517	2.103227813	0	0
PF3D7_0111000	15.65108508	28.12003719	0	2.523873375	0	0
PF3D7_0111200	1.422825917	0	3.443382569	2.103227813	0	3.060984755
PF3D7_0111300	0	3.87862582	5.738970948	7.150974564	1.225243761	0
PF3D7_0111400	0	2.908969365	9.182353517	4.627101188	0	1.020328252
PF3D7_0111500	0	3.87862582	3.443382569	4.206455626	0	0
PF3D7_0111600	0	0	0	0	0	1.020328252
PF3D7_0111700	0	0	0	0	0	0
PF3D7_0111800	2.845651833	1.93931291	1.14779419	0.420645563	0	0
PF3D7_0111900	0	0	1.14779419	0	1.225243761	0
PF3D7_0112000	0	0.969656455	1.14779419	2.103227813	0	0
PF3D7_0112100	0	0	0	0	0	0
PF3D7_0112200	2.845651833	0	1.14779419	0	3.675731284	5.101641258
PF3D7_0112300	0	0	1.14779419	0	2.450487523	0
PF3D7_0112400	0	0	0	0	0	0
PF3D7_0112500	0	0	3.443382569	4.627101188	3.675731284	11.22361077
PF3D7_0112600	7.114129583	0.969656455	8.034559327	12.61936688	0	2.040656503
PF3D7_0112700	12.80543325	9.69656455	1260.27802	747.9078102	1076.989266	891.7668919
PF3D7_0112800	1.422825917	0.969656455	16.06911865	9.254202376	0	0
PF3D7_0112900	0	0	0	0	0	0
PF3D7_0113000	28.45651833	6.787595185	3.443382569	1.261936688	3.675731284	2.040656503
PF3D7_0113100	0	0	0	0	0	0
PF3D7_0113200	0	2.908969365	1.14779419	0	0	0
PF3D7_0113300	8.536955499	0	2.295588379	0.420645563	0	0
PF3D7_0113400	2.845651833	0	0	0.420645563	0	0
PF3D7_0113600	0	0	0	0	0	0
PF3D7_0113700	4.26847775	0	1.14779419	1.261936688	0	0
PF3D7_0113800	1.422825917	0.969656455	0	0	0	4.081313006
PF3D7_0113900	5.691303666	10.666221	3.443382569	1.261936688	1.225243761	1.020328252
PF3D7_0114000	0	0	0	0	0	0
PF3D7_0114100	0	0	0	0	0	0
PF3D7_0114200	0	0	0	0	0	0
PF3D7_0114300	0	0	0	0	0	0
PF3D7_0114400	5.691303666	8.726908095	0	2.103227813	2.450487523	1.020328252
PF3D7_0114500	0	0	0	0	0	0
PF3D7_0114600	1.422825917	0	0	0	0	0
PF3D7_0114700	0	0	0	0	0	0
PF3D7_0114800	0	0	0	0	0	0
PF3D7_0114900	0	0	0	0	0	0
PF3D7_0115000	0	0.969656455	0	0	0	0
PF3D7_0115100	0	0.969656455	0	0	0	0
PF3D7_0115200	0	0	0	0	0	0
PF3D7_0115300	0	0	0	0	0	0
PF3D7_0115400	0	0	0	0	0	0
PF3D7_0115500	0	0	0	0	0	0
PF3D7_0115600	0	0	0	0	0	0
PF3D7_0115700	1.422825917	0	0	0	2.450487523	0
PF3D7_0200100	0	0	0	0	0	2.040656503
PF3D7_0200200	0	0	0	0	0	0
PF3D7_0200300	0	0	0	0	0	0
PF3D7_0200400	0	0	0	0	0	0
PF3D7_0200500	0	0	0	0	0	0
PF3D7_0200600	0	0	0	0	0	0
PF3D7_0200700	0	0	0	0	0	0
PF3D7_0200800	0	0	0	0	0	0
PF3D7_0200900	0	0	0	0	0	0
PF3D7_0201000	0	0.969656455	0	0	0	0
PF3D7_0201100	0	0	0	0	0	0
PF3D7_0201200	0	0	0	0	0	0
PF3D7_0201300	0	0	0	0	0	0
PF3D7_0201400	0	0	0	0	0	0
PF3D7_0201500	2.845651833	0	1.14779419	0	0	0
PF3D7_0201600	17.073911	0	0	0.420645563	0	0
PF3D7_0201700	2.845651833	0	0	2.103227813	0	6.12196951
PF3D7_0201800	9.959781416	0	0	0	6.126218807	2.040656503
PF3D7_0201900	9.959781416	0	0	0	0	0
PF3D7_0202000	250.4173613	0	0	0	0	0
PF3D7_0202100	15.65108508	0	0	0	99.24474467	66.32133635
PF3D7_0202200	11.38260733	0	0	0	12.25243761	6.12196951
PF3D7_0202300	0	0	0	0	0	0
PF3D7_0202400	0	0	0	0	0	0
PF3D7_0202500	21.34238875	0	0	0	0	0
PF3D7_0202600.1	0	0.969656455	0	0	0	0
PF3D7_0202600.2	0	0	0	0	0	0
PF3D7_0202700	2.845651833	2.908969365	3.443382569	4.206455626	0	2.040656503
PF3D7_0202800	1.422825917	0	0	2.944518938	0	1.020328252
PF3D7_0202900	8.536955499	19.3931291	0	0.841291125	2.450487523	0
PF3D7_0203000	0	0	0	0.420645563	7.351462568	5.101641258
PF3D7_0203100	5.691303666	1.93931291	0	0.420645563	13.47768137	3.060984755
PF3D7_0203200	2.845651833	4.848282275	1.14779419	0.841291125	0	0
PF3D7_0203300	0	1.93931291	3.443382569	0.420645563	0	0
PF3D7_0203400	1.422825917	7.75725164	3.443382569	2.103227813	1.225243761	4.081313006
PF3D7_0203500	0	1.93931291	0	0	0	0
PF3D7_0203600	0	6.787595185	1.14779419	1.261936688	0	0
PF3D7_0203700	0	0	2.295588379	1.261936688	0	0
PF3D7_0203800	4.26847775	31.99866301	6.886765138	0.420645563	0	1.020328252
PF3D7_0203900	1.422825917	0.969656455	1.14779419	0.420645563	0	2.040656503
PF3D7_0204000	1.422825917	2.908969365	0	0	1.225243761	0
PF3D7_0204100	2.845651833	1.93931291	0	0.420645563	1.225243761	3.060984755
PF3D7_0204200	12.80543325	3.87862582	0	1.68258225	1.225243761	2.040656503
PF3D7_0204300	0	4.848282275	3.443382569	0.420645563	1.225243761	0
PF3D7_0204400	0	0	0	0	0	0
PF3D7_0204500	7.114129583	0	3.443382569	2.523873375	0	0
PF3D7_0204600	1.422825917	0	1.14779419	1.261936688	0	0
PF3D7_0204700	11.38260733	4.848282275	28.69485474	30.2864805	2.450487523	9.182954265
PF3D7_0204800	0	1.93931291	2.295588379	4.206455626	1.225243761	1.020328252
PF3D7_0204900	1.422825917	9.69656455	0	4.206455626	1.225243761	0
PF3D7_0205000	27.03369241	17.45381619	2.295588379	0	0	0
PF3D7_0205100	5.691303666	6.787595185	2.295588379	0.420645563	0	0
PF3D7_0205200	0	1.93931291	0	0	0	1.020328252
PF3D7_0205300	1.422825917	0.969656455	2.295588379	0.841291125	0	0
PF3D7_0205400	1.422825917	2.908969365	2.295588379	0.420645563	0	0
PF3D7_0205500	1.422825917	0	2.295588379	1.261936688	0	0
PF3D7_0205600	1.422825917	4.848282275	1.14779419	2.944518938	0	0
PF3D7_0205700.1	0	0	0	0	0	0
PF3D7_0205700.2	1.422825917	0	0	0	0	0
PF3D7_0205800	4.26847775	7.75725164	0	2.944518938	0	5.101641258
PF3D7_0205900	14.22825917	23.27175492	5.738970948	9.254202376	2.450487523	7.142297761
PF3D7_0206000	0	2.908969365	3.443382569	3.785810063	1.225243761	4.081313006
PF3D7_0206100	1.422825917	2.908969365	3.443382569	2.103227813	8.576706329	8.162626013
PF3D7_0206200	0	1.93931291	1.14779419	2.944518938	24.50487523	38.77247356
PF3D7_0206300	7.114129583	5.81793873	8.034559327	10.51613906	9.801950091	2.040656503
PF3D7_0206500	7.114129583	4.848282275	8.034559327	5.047746751	13.47768137	10.20328252
PF3D7_0206600	4.26847775	0	0	0.420645563	1.225243761	0
PF3D7_0206700	0	0	0	1.68258225	0	0
PF3D7_0206800	5.691303666	0.969656455	2.295588379	12.61936688	0	0
PF3D7_0206900.1	0	0	0	0	0	0
PF3D7_0206900.2	0	0	0	0	0	0
PF3D7_0207000	1.422825917	0.969656455	2.295588379	2.523873375	11.02719385	4.081313006
PF3D7_0207100	2.845651833	5.81793873	5.738970948	2.523873375	84.54181953	66.32133635
PF3D7_0207200	0	0.969656455	0	0	2.450487523	3.060984755
PF3D7_0207300	0	0	0	0	74.73986944	90.80921439
PF3D7_0207400	0	0	0	2.103227813	2.450487523	4.081313006
PF3D7_0207500	0	0	0	0	0	0
PF3D7_0207600	0	0	0	0	0	0
PF3D7_0207700	0	0	0	0	0	0
PF3D7_0207800	0	0	0	0	0	0
PF3D7_0207900	0	0	1.14779419	3.365164501	0	0
PF3D7_0208000	0	0	0	0.420645563	0	0
PF3D7_0208100.1	0	0	0	0	0	0
PF3D7_0208100.2	0	0	0	0	0	0
PF3D7_0208200	2.845651833	0.969656455	9.182353517	4.206455626	0	0
PF3D7_0208300	12.80543325	5.81793873	10.33014771	10.93678463	2.450487523	1.020328252
PF3D7_0208400	7.114129583	3.87862582	41.32059083	24.39744263	37.9825566	26.52853454
PF3D7_0208500	0	0	2.295588379	2.523873375	0	0
PF3D7_0208600	0	2.908969365	5.738970948	6.309683438	0	1.020328252
PF3D7_0208700.1	0	0	0	0.420645563	1.225243761	0
PF3D7_0208700.2	0	0	0	1.261936688	0	0
PF3D7_0208800	0	0	0	2.103227813	1.225243761	0
PF3D7_0208900	2.845651833	7.75725164	0	0.841291125	0	0
PF3D7_0209000	14.22825917	40.72557111	8.034559327	5.468392313	4.900975045	5.101641258
PF3D7_0209100	1.422825917	0.969656455	0	1.68258225	2.450487523	3.060984755
PF3D7_0209200	0	0	0	1.261936688	0	0
PF3D7_0209300	0	0.969656455	1.14779419	4.627101188	0	0
PF3D7_0209400	1.422825917	0.969656455	2.295588379	1.261936688	0	0
PF3D7_0209500	0	0.969656455	0	0	1.225243761	0
PF3D7_0209600	0	0.969656455	0	0	2.450487523	1.020328252
PF3D7_0209700	1.422825917	2.908969365	1.14779419	2.103227813	11.02719385	7.142297761
PF3D7_0209800	2.845651833	1.93931291	12.62573609	9.674847939	1.225243761	0
PF3D7_0209900	9.959781416	5.81793873	2.295588379	1.68258225	3.675731284	5.101641258
PF3D7_0210000	7.114129583	6.787595185	6.886765138	4.627101188	0	0
PF3D7_0210100.1	1.422825917	0.969656455	3.443382569	0.841291125	0	0
PF3D7_0210100.2	0	0	0	0	0	0
PF3D7_0210200	14.22825917	36.84694529	5.738970948	8.412911251	2.450487523	2.040656503
PF3D7_0210300	25.6108665	29.08969365	3.443382569	7.571620126	24.50487523	7.142297761
PF3D7_0210400	1.422825917	0	0	0.841291125	0	0
PF3D7_0210500	1.422825917	0.969656455	1.14779419	0.841291125	0	0
PF3D7_0210600	0	3.87862582	0	0.841291125	3.675731284	0
PF3D7_0210700	2.845651833	8.726908095	0	0.420645563	0	1.020328252
PF3D7_0210800	0	0	1.14779419	0.420645563	0	2.040656503
PF3D7_0210900	15.65108508	0.969656455	2.295588379	4.627101188	0	1.020328252
PF3D7_0211000	0	0.969656455	0	0	0	0
PF3D7_0211100	0	0.969656455	1.14779419	1.68258225	0	0
PF3D7_0211200	0	0	0	2.103227813	0	0
PF3D7_0211300	0	0.969656455	2.295588379	0.420645563	0	0
PF3D7_0211400	0	1.93931291	2.295588379	2.103227813	0	0
PF3D7_0211500	1.422825917	0	0	0	0	0
PF3D7_0211600	0	0	1.14779419	1.261936688	0	2.040656503
PF3D7_0211700	1.422825917	2.908969365	1.14779419	6.309683438	4.900975045	5.101641258
PF3D7_0211800	4.26847775	1.93931291	12.62573609	16.40517694	0	0
PF3D7_0211900	1.422825917	1.93931291	1.14779419	3.785810063	0	0
PF3D7_0212000	5.691303666	11.63587746	1.14779419	0	2.450487523	2.040656503
PF3D7_0212100	2.845651833	6.787595185	3.443382569	4.627101188	0	0
PF3D7_0212200	0	0	0	0	0	0
PF3D7_0212300	8.536955499	16.48415973	22.95588379	15.56388581	0	0
PF3D7_0212400	11.38260733	15.51450328	25.25147217	33.65164501	3.675731284	17.34558028
PF3D7_0212500	15.65108508	6.787595185	10.33014771	13.88130356	36.75731284	33.6708323
PF3D7_0212600	1.422825917	0	1.14779419	0.420645563	15.9281689	14.28459552
PF3D7_0212700	4.26847775	4.848282275	1.14779419	2.103227813	4.900975045	1.020328252
PF3D7_0212800	1.422825917	2.908969365	1.14779419	0.420645563	7.351462568	6.12196951
PF3D7_0212900	0	2.908969365	0	2.103227813	0	0
PF3D7_0213000	2.845651833	3.87862582	3.443382569	6.730329001	1.225243761	0
PF3D7_0213100	9.959781416	12.60553391	10.33014771	10.0954935	0	0
PF3D7_0213200	2.845651833	8.726908095	2.295588379	2.103227813	2.450487523	5.101641258
PF3D7_0213300	2.845651833	8.726908095	6.886765138	5.468392313	2.450487523	13.26426727
PF3D7_0213400	12.80543325	22.30209846	2.295588379	0	0	2.040656503
PF3D7_0213500	1.422825917	3.87862582	5.738970948	6.730329001	0	0
PF3D7_0213600	49.79890708	121.2070569	1.14779419	6.730329001	0	0
PF3D7_0213700	2.845651833	1.93931291	1.14779419	0.420645563	0	0
PF3D7_0213800	4.26847775	20.36278555	1.14779419	2.103227813	1.225243761	1.020328252
PF3D7_0213900	1.422825917	0	3.443382569	3.785810063	0	0
PF3D7_0214000	4.26847775	2.908969365	14.92132446	17.24646807	0	1.020328252
PF3D7_0214100	8.536955499	3.87862582	8.034559327	7.150974564	7.351462568	4.081313006
PF3D7_0214200	1.422825917	0	0	0.841291125	4.900975045	5.101641258
PF3D7_0214300	0	0	2.295588379	0	0	0
PF3D7_0214400	7.114129583	6.787595185	6.886765138	5.047746751	3.675731284	7.142297761
PF3D7_0214500	0	0.969656455	1.14779419	0.420645563	0	1.020328252
PF3D7_0214600	0	0	0	0.841291125	35.53206908	43.87411482
PF3D7_0214700	1.422825917	0.969656455	0	0.841291125	1.225243761	2.040656503
PF3D7_0214800	7.114129583	2.908969365	1.14779419	0.841291125	0	1.020328252
PF3D7_0214900	0	1.93931291	0	0.420645563	0	1.020328252
PF3D7_0215000	1.422825917	2.908969365	0	2.103227813	0	0
PF3D7_0215100	0	3.87862582	0	0.420645563	4.900975045	0
PF3D7_0215200	0	0.969656455	0	0	3.675731284	2.040656503
PF3D7_0215300	7.114129583	0	0	0.420645563	0	3.060984755
PF3D7_0215400	7.114129583	7.75725164	9.182353517	6.730329001	13.47768137	16.32525203
PF3D7_0215500	1.422825917	0.969656455	1.14779419	3.365164501	0	0
PF3D7_0215600	2.845651833	1.93931291	0	1.68258225	0	0
PF3D7_0215700	2.845651833	3.87862582	6.886765138	8.833556814	0	0
PF3D7_0215800	1.422825917	6.787595185	0	3.365164501	0	0
PF3D7_0215900	0	0	0	0	0	0
PF3D7_0216000	15.65108508	44.60419693	2.295588379	0.841291125	0	1.020328252
PF3D7_0216100	0	0.969656455	16.06911865	12.61936688	7.351462568	12.24393902
PF3D7_0216200	1.422825917	0	0	1.68258225	1.225243761	0
PF3D7_0216300	0	0	2.295588379	1.68258225	1.225243761	0
PF3D7_0216400	0	0.969656455	2.295588379	2.944518938	0	0
PF3D7_0216500	1.422825917	2.908969365	5.738970948	4.627101188	2.450487523	4.081313006
PF3D7_0216600	0	0.969656455	1.14779419	2.103227813	14.70292514	6.12196951
PF3D7_0216700.1	0	0	0	0	0	0
PF3D7_0216700.2	0	0	0	0	0	0
PF3D7_0216800	0	0	2.295588379	0.420645563	1.225243761	0
PF3D7_0216900	1.422825917	3.87862582	0	1.261936688	0	0
PF3D7_0217000	4.26847775	15.51450328	2.295588379	1.261936688	0	2.040656503
PF3D7_0217100	7.114129583	8.726908095	25.25147217	43.32649294	7.351462568	4.081313006
PF3D7_0217200	1.422825917	0.969656455	1.14779419	5.889037876	0	1.020328252
PF3D7_0217300	1.422825917	0	0	0	0	1.020328252
PF3D7_0217400	4.26847775	3.87862582	3.443382569	2.103227813	2.450487523	0
PF3D7_0217500	11.38260733	18.42347264	3.443382569	1.261936688	89.44279458	74.48396237
PF3D7_0217600	2.845651833	4.848282275	2.295588379	3.365164501	7.351462568	6.12196951
PF3D7_0217700	2.845651833	0.969656455	1.14779419	1.68258225	4.900975045	3.060984755
PF3D7_0217800	8.536955499	9.69656455	18.36470703	18.92905032	0	0
PF3D7_0217900	2.845651833	1.93931291	4.591176758	4.206455626	3.675731284	1.020328252
PF3D7_0218000	0	1.93931291	4.591176758	5.047746751	0	0
PF3D7_0218100	1.422825917	3.87862582	0	0.841291125	1.225243761	1.020328252
PF3D7_0218200	0	1.93931291	2.295588379	4.627101188	0	3.060984755
PF3D7_0218300	5.691303666	7.75725164	1.14779419	3.785810063	6.126218807	3.060984755
PF3D7_0218400	0	0	0	3.365164501	2.450487523	1.020328252
PF3D7_0218500	8.536955499	0.969656455	11.4779419	11.35743019	0	0
PF3D7_0218600	1.422825917	0	1.14779419	4.627101188	3.675731284	3.060984755
PF3D7_0218700	0	0.969656455	1.14779419	1.261936688	0	2.040656503
PF3D7_0218800	69.71846991	26.18072428	138.8830969	146.3846558	112.722426	126.5207032
PF3D7_0218900	0	0	1.14779419	0.420645563	0	0
PF3D7_0219000	0	0	0	0	0	0
PF3D7_0219100	0	0.969656455	0	1.68258225	0	0
PF3D7_0219200	0	0.969656455	4.591176758	2.944518938	0	0
PF3D7_0219300	0	0	4.591176758	4.627101188	0	0
PF3D7_0219400.1	0	0	0	0	0	0
PF3D7_0219400.2	0	0	0	0	0	0
PF3D7_0219500	0	2.908969365	2.295588379	2.523873375	0	0
PF3D7_0219600	4.26847775	12.60553391	0	1.261936688	0	0
PF3D7_0219700	4.26847775	1.93931291	0	0	0	1.020328252
PF3D7_0219800	0	0.969656455	0	0	0	0
PF3D7_0219900	4.26847775	0	1.14779419	0	0	0
PF3D7_0220000	4.26847775	0.969656455	0	0	0	0
PF3D7_0220100	9.959781416	2.908969365	3.443382569	2.103227813	4.900975045	4.081313006
PF3D7_0220200	1.422825917	0	0	0	1.225243761	0
PF3D7_0220300	0	0	0	0	0	1.020328252
PF3D7_0220400	1.422825917	0	0	0	0	0
PF3D7_0220500	1.422825917	0	0	0	0	0
PF3D7_0220600	11.38260733	0	0	0	0	0
PF3D7_0220700	4.26847775	0	0	0	0	0
PF3D7_0220800	0	0	0	0	0	0
PF3D7_0220900	0	0	0	0.420645563	0	0
PF3D7_0221000	0	0	0	0	0	0
PF3D7_0221100	0	0	0	0	0	0
PF3D7_0221200	0	0.969656455	0	0	0	0
PF3D7_0221300	0	0	0	0	0	0
PF3D7_0221400	0	0	0	0	0	0
PF3D7_0221500	0	0	0	0	0	0
PF3D7_0221600	0	0	0	0	0	0
PF3D7_0221700	0	0	0	0	0	0
PF3D7_0221800	0	0	0	0	0	0
PF3D7_0221900	0	0	3.443382569	1.261936688	0	0
PF3D7_0222000	0	0	0	0	0	0
PF3D7_0222100	0	0	0	0	0	0
PF3D7_0222200	0	0	0	0	0	0
PF3D7_0222300	0	0	0	0	0	0
PF3D7_0222400	0	0	0	0	0	0
PF3D7_0222500	0	0.969656455	0	0	0	0
PF3D7_0222600	0	0	0	0	0	0
PF3D7_0222700	0	0	0	0	0	0
PF3D7_0222800	0	0	0	0	0	0
PF3D7_0222900	0	0	0	0	0	0
PF3D7_0223100	0	0	0	0	0	0
PF3D7_0223200	0	0	0	0	0	0
PF3D7_0223300	0	0	0	0	1.225243761	0
PF3D7_0223400	0	0	0	0	0	0
PF3D7_0223500	0	0	0	0	0	2.040656503
PF3D7_0300100	0	0.969656455	0	0.420645563	0	0
PF3D7_0300200	0	0	0	0	0	0
PF3D7_0300300	0	0	0	0	0	0
PF3D7_0300400	0	0	0	0	0	0
PF3D7_0300500	0	0.969656455	0	0	0	0
PF3D7_0300600	0	0	0	0	0	0
PF3D7_0300700	0	0	0	0	0	0
PF3D7_0300800	0	0	0	0	0	0
PF3D7_0300900	0	0	0	0	0	0
PF3D7_0301000	2.845651833	0	0	0	0	1.020328252
PF3D7_0301100	0	0	0	0.420645563	0	0
PF3D7_0301200	1.422825917	0	0	0	1.225243761	0
PF3D7_0301300	5.691303666	0	0	0.420645563	1.225243761	0
PF3D7_0301400	2.845651833	0	0	0.841291125	0	0
PF3D7_0301500	2.845651833	0.969656455	0	0	0	0
PF3D7_0301600	9.959781416	3.87862582	0	0	0	1.020328252
PF3D7_0301700	2.845651833	0	1.14779419	0.420645563	0	0
PF3D7_0301800	4.26847775	0.969656455	0	0.841291125	0	0
PF3D7_0301900	0	2.908969365	2.295588379	0.420645563	0	0
PF3D7_0302000	2.845651833	1.93931291	1.14779419	2.103227813	0	0
PF3D7_0302100	4.26847775	7.75725164	6.886765138	11.35743019	14.70292514	15.30492377
PF3D7_0302200	0	0	0	0	0	1.020328252
PF3D7_0302300	5.691303666	0.969656455	2.295588379	3.365164501	0	2.040656503
PF3D7_0302400	0	0	0	0.420645563	0	0
PF3D7_0302500	1.422825917	0	1.14779419	0	0	0
PF3D7_0302600	0	3.87862582	2.295588379	2.944518938	0	0
PF3D7_0302700	0	1.93931291	1.14779419	1.261936688	0	0
PF3D7_0302800	0	2.908969365	0	0.420645563	0	1.020328252
PF3D7_0302900	2.845651833	3.87862582	6.886765138	10.51613906	0	1.020328252
PF3D7_0303000	1.422825917	1.93931291	5.738970948	4.627101188	0	0
PF3D7_0303100	1.422825917	5.81793873	2.295588379	0.420645563	0	1.020328252
PF3D7_0303200	1.422825917	1.93931291	9.182353517	4.206455626	7.351462568	6.12196951
PF3D7_0303300	5.691303666	0	3.443382569	2.523873375	0	0
PF3D7_0303400	12.80543325	24.24141137	0	0.841291125	0	0
PF3D7_0303500	5.691303666	11.63587746	12.62573609	13.04001244	2.450487523	6.12196951
PF3D7_0303600	0	0	1.14779419	0.420645563	0	0
PF3D7_0303700	0	1.93931291	10.33014771	10.51613906	0	0
PF3D7_0303800	0	1.93931291	0	0.841291125	1.225243761	1.020328252
PF3D7_0303900	15.65108508	34.90763238	0	0	0	0
PF3D7_0304000	1.422825917	0	0	1.261936688	0	0
PF3D7_0304100	5.691303666	13.57519037	0	1.261936688	0	0
PF3D7_0304200	14.22825917	4.848282275	6.886765138	6.730329001	6.126218807	5.101641258
PF3D7_0304300	0	0.969656455	2.295588379	5.468392313	0	1.020328252
PF3D7_0304400	1.422825917	0	3.443382569	11.77807575	0	1.020328252
PF3D7_0304500	0	0	1.14779419	3.785810063	1.225243761	0
PF3D7_0304600	1.422825917	0	4.591176758	10.51613906	287.9322839	225.4925436
PF3D7_0304700	0	0.969656455	0	1.261936688	8.576706329	8.162626013
