Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	Gene Name or Symbol	
PF3D7_0105200	PF3D7_0105200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:222,254..223,960(-)	heptatricopeptide repeat and RAP domain-containing protein, putative	protein coding	PF3D7_0105200	N/A	
PF3D7_0105300	PF3D7_0105300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:225,110..225,779(-)	cyclase-associated protein	protein coding	PF3D7_0105300	CAP	
PF3D7_0105400	PF3D7_0105400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:226,681..227,285(-)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0105400.2, PF3D7_0105400.1	N/A	
PF3D7_0105400	PF3D7_0105400.2	Plasmodium falciparum 3D7	Pf3D7_01_v3:226,681..227,285(-)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0105400.1, PF3D7_0105400.2	N/A	
PF3D7_0105500	PF3D7_0105500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:228,485..229,519(-)	conserved protein, unknown function	protein coding	PF3D7_0105500	N/A	
PF3D7_0105600	PF3D7_0105600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:230,289..234,402(-)	FtsJ-like methyltransferase, putative	protein coding	PF3D7_0105600	N/A	
PF3D7_0105700	PF3D7_0105700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:238,666..247,857(+)	asparagine-rich antigen Pfa35-2	protein coding	PF3D7_0105700	N/A	
PF3D7_0105800	PF3D7_0105800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:249,231..252,010(-)	cyclin-dependent kinases regulatory subunit, putative	protein coding	PF3D7_0105800	N/A	
PF3D7_0105900	PF3D7_0105900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:253,584..254,930(+)	3'-5' exonuclease, putative	protein coding	PF3D7_0105900	N/A	
PF3D7_0106000	PF3D7_0106000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:255,775..258,543(-)	conserved protein, unknown function	protein coding	PF3D7_0106000	N/A	
PF3D7_0106100	PF3D7_0106100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:260,658..261,809(-)	V-type proton ATPase subunit C, putative	protein coding	PF3D7_0106100	N/A	
PF3D7_0106200	PF3D7_0106200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:263,340..264,223(-)	EF hand domain-containing protein, putative	protein coding	PF3D7_0106200	N/A	
PF3D7_0106300	PF3D7_0106300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:265,208..269,173(-)	calcium-transporting ATPase	protein coding	PF3D7_0106300	ATP6	
PF3D7_0106400	PF3D7_0106400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:272,454..273,404(+)	pre-rRNA-processing protein TSR2, putative	protein coding	PF3D7_0106400	N/A	
PF3D7_0106500	PF3D7_0106500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:274,315..278,550(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0106500	N/A	
PF3D7_0106600	PF3D7_0106600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:279,115..280,014(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0106600	N/A	
PF3D7_0106700	PF3D7_0106700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:281,155..285,459(+)	small ribosomal subunit assembling AARP2 protein	protein coding	PF3D7_0106700	AARP2	
PF3D7_0106800	PF3D7_0106800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:286,951..288,918(+)	ras-related protein Rab-5C	protein coding	PF3D7_0106800	RAB5c	
PF3D7_0106900	PF3D7_0106900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:290,386..292,590(+)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	protein coding	PF3D7_0106900	IspD	
PF3D7_0107000	PF3D7_0107000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:293,642..294,968(+)	centrin-1	protein coding	PF3D7_0107000	CEN1	
PF3D7_0107100	PF3D7_0107100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:295,300..296,931(-)	conserved protein, unknown function	protein coding	PF3D7_0107100	N/A	
PF3D7_0107200	PF3D7_0107200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:297,362..299,397(+)	CCR4 domain-containing protein 3, putative	protein coding	PF3D7_0107200	CCR4-3	
PF3D7_0107300	PF3D7_0107300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:299,562..300,868(-)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0107300	N/A	
PF3D7_0107400	PF3D7_0107400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:302,937..303,398(+)	ATP synthase-associated protein, putative	protein coding	PF3D7_0107400	N/A	
PF3D7_0107500	PF3D7_0107500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:304,362..309,257(-)	Niemann-Pick type C1-related protein	protein coding	PF3D7_0107500	NCR1	
PF3D7_0107600	PF3D7_0107600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:314,618..319,405(+)	eukaryotic translation initiation factor 2-alpha kinase 2, putative	protein coding	PF3D7_0107600	eIK2	
PF3D7_0107700	PF3D7_0107700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:320,168..321,508(+)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	protein coding	PF3D7_0107700	N/A	
PF3D7_0107800	PF3D7_0107800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:322,371..326,072(+)	double-strand break repair protein MRE11	protein coding	PF3D7_0107800	MRE11	
PF3D7_0107900	PF3D7_0107900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:326,397..327,224(-)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0107900	N/A	
PF3D7_0108000	PF3D7_0108000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:328,431..329,558(-)	proteasome subunit beta type-3, putative	protein coding	PF3D7_0108000	N/A	
PF3D7_0108100	PF3D7_0108100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:330,738..332,708(+)	conserved protein, unknown function	protein coding	PF3D7_0108100	N/A	
PF3D7_0108300	PF3D7_0108300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:337,168..343,833(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0108300	ARP	
PF3D7_0108400	PF3D7_0108400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:344,400..346,540(-)	mitochondrial carrier protein, putative	protein coding	PF3D7_0108400.2, PF3D7_0108400.1	N/A	
PF3D7_0108400	PF3D7_0108400.2	Plasmodium falciparum 3D7	Pf3D7_01_v3:344,400..346,540(-)	mitochondrial carrier protein, putative	protein coding	PF3D7_0108400.1, PF3D7_0108400.2	N/A	
PF3D7_0108500	PF3D7_0108500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:349,170..349,709(+)	EELM2 domain-containing protein, putative	protein coding	PF3D7_0108500	N/A	
PF3D7_0108600	PF3D7_0108600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:349,995..351,626(-)	DnaJ domain-containing protein, putative	protein coding	PF3D7_0108600	N/A	
PF3D7_0108700	PF3D7_0108700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:352,314..356,211(-)	secreted ookinete protein, putative	protein coding	PF3D7_0108700	PSOP24	
PF3D7_0108800	PF3D7_0108800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:357,834..360,339(+)	mitochondrial carrier protein, putative	protein coding	PF3D7_0108800	N/A	
PF3D7_0108900	PF3D7_0108900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:361,987..362,586(-)	non-coding RNA	non protein coding	PF3D7_0108900	N/A	
PF3D7_0109000	PF3D7_0109000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:363,318..363,992(+)	photosensitized INA-labeled protein PHIL1	protein coding	PF3D7_0109000	PHIL1	
PF3D7_0109100	PF3D7_0109100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:365,610..368,795(+)	LCCL domain-containing protein	protein coding	PF3D7_0109100	CCp5	
PF3D7_0109200	PF3D7_0109200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:369,480..370,178(-)	cleavage and polyadenylation specificity factor subunit 5, putative	protein coding	PF3D7_0109200	CFIM25	
PF3D7_0109300	PF3D7_0109300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:371,815..373,012(-)	elongation of fatty acids protein, putative	protein coding	PF3D7_0109300	N/A	
PF3D7_0109400	PF3D7_0109400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:374,439..375,087(-)	tubulin-specific chaperone a, putative	protein coding	PF3D7_0109400	N/A	
PF3D7_0109500	PF3D7_0109500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:376,294..377,004(-)	N-acetyltransferase, GNAT family, putative	protein coding	PF3D7_0109500	N/A	
PF3D7_0109600	PF3D7_0109600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:377,874..378,599(-)	cold-shock protein, putative	protein coding	PF3D7_0109600	N/A	
PF3D7_0109700	PF3D7_0109700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:379,149..379,806(-)	rRNA biogenesis protein RRP36, putative	protein coding	PF3D7_0109700	RRP36	
PF3D7_0109800	PF3D7_0109800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:380,697..382,424(+)	phenylalanine--tRNA ligase alpha subunit	protein coding	PF3D7_0109800	cPheRS	
PF3D7_0109850	PF3D7_0109850.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:383,284..386,632(+)	phosphatidate cytidylyltransferase, putative	protein coding	PF3D7_0109900.1, PF3D7_0109900.2	N/A	
PF3D7_0110000	PF3D7_0110000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:388,372..389,076(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0110000	N/A	
PF3D7_0110100	PF3D7_0110100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:389,261..392,065(-)	selenocysteine-specific elongation factor, putative	protein coding	PF3D7_0110100	SELB	
PF3D7_0110200	PF3D7_0110200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:392,604..393,035(+)	FAD-linked sulfhydryl oxidase ERV1, putative	protein coding	PF3D7_0110200	ERV1	
PF3D7_0110300	PF3D7_0110300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:393,216..393,490(-)	Plasmodium RNA of unknown function RUF5	non protein coding	PF3D7_0110300	N/A	
PF3D7_0110400	PF3D7_0110400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:393,875..394,835(-)	DNA-directed RNA polymerase II subunit RPB9, putative	protein coding	PF3D7_0110400	RPB9	
PF3D7_0110500	PF3D7_0110500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:396,591..403,606(+)	bromodomain protein 3, putative	protein coding	PF3D7_0110500	BDP3	
PF3D7_0110600	PF3D7_0110600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:405,739..412,169(+)	phosphatidylinositol-4-phosphate 5-kinase	protein coding	PF3D7_0110600	PIP5K	
PF3D7_0110700	PF3D7_0110700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:413,760..415,100(-)	chromatin assembly factor 1 subunit C, putative	protein coding	PF3D7_0110700	CAF1C	
PF3D7_0110800	PF3D7_0110800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:417,921..419,607(+)	transcription initiation factor TFIIB, putative	protein coding	PF3D7_0110800	N/A	
PF3D7_0110900	PF3D7_0110900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:420,293..420,853(-)	adenylate kinase-like protein 1	protein coding	PF3D7_0110900	AKLP1	
PF3D7_0111000	PF3D7_0111000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:421,776..427,575(-)	kinesin-8B, putative	protein coding	PF3D7_0111000	N/A	
PF3D7_0111200	PF3D7_0111200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:430,152..430,858(-)	conserved protein, unknown function	protein coding	PF3D7_0111200	N/A	
PF3D7_0111300	PF3D7_0111300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:431,539..435,042(-)	P-loop containing nucleoside triphosphate hydrolase, putative	protein coding	PF3D7_0111300	N/A	
PF3D7_0111400	PF3D7_0111400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:436,408..438,564(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0111400	GEXP19	
PF3D7_0111500	PF3D7_0111500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:439,652..441,418(-)	UMP-CMP kinase, putative	protein coding	PF3D7_0111500	N/A	
PF3D7_0111600	PF3D7_0111600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:442,543..443,289(-)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0111600	N/A	
PF3D7_0111700	PF3D7_0111700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:443,585..443,938(-)	conserved protein, unknown function	protein coding	PF3D7_0111700	N/A	
PF3D7_0111800	PF3D7_0111800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:446,026..448,849(+)	eukaryotic translation initiation factor 4E, putative	protein coding	PF3D7_0111800	N/A	
PF3D7_0111900	PF3D7_0111900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:450,043..450,646(-)	conserved protein, unknown function	protein coding	PF3D7_0111900	N/A	
PF3D7_0112000	PF3D7_0112000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:450,831..453,118(-)	TatD-like deoxyribonuclease	protein coding	PF3D7_0112000	TatD	
PF3D7_0112100	PF3D7_0112100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:454,847..455,338(+)	conserved Plasmodium protein, unknown function	protein coding	PF3D7_0112100	N/A	
PF3D7_0112200	PF3D7_0112200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:464,726..470,194(+)	multidrug resistance-associated protein 1	protein coding	PF3D7_0112200	MRP1	
PF3D7_0112300	PF3D7_0112300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:473,739..475,887(+)	18S ribosomal RNA	rRNA encoding	PF3D7_0112300	N/A	
PF3D7_0112400	PF3D7_0112400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:475,888..476,286(+)	unspecified product	rRNA encoding	PF3D7_0112400	N/A	
PF3D7_0112500	PF3D7_0112500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:476,287..476,428(+)	5.8S ribosomal RNA	rRNA encoding	PF3D7_0112500	N/A	
PF3D7_0112600	PF3D7_0112600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:476,429..477,278(+)	unspecified product	rRNA encoding	PF3D7_0112600	N/A	
PF3D7_0112700	PF3D7_0112700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:477,279..481,382(+)	28S ribosomal RNA	rRNA encoding	PF3D7_0112700	N/A	
PF3D7_0112800	PF3D7_0112800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:481,809..482,618(-)	Plasmodium exported protein (hyp11), unknown function	protein coding	PF3D7_0112800	N/A	
PF3D7_0112900	PF3D7_0112900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:486,500..487,186(+)	Plasmodium exported protein, unknown function	protein coding	PF3D7_0112900	N/A	
PF3D7_0113000	PF3D7_0113000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:487,892..490,127(-)	glutamic acid-rich protein GARP	protein coding	PF3D7_0113000	GARP	
PF3D7_0113100	PF3D7_0113100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:495,244..500,076(+)	surface-associated interspersed protein 1.1 (SURFIN 1.1)	protein coding	PF3D7_0113100	SURF1.1	
PF3D7_0113200	PF3D7_0113200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:500,959..502,868(-)	Plasmodium exported protein, unknown function	protein coding	PF3D7_0113200	N/A	
PF3D7_0113300	PF3D7_0113300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:504,938..506,874(-)	Plasmodium exported protein (hyp1), unknown function	protein coding	PF3D7_0113300	N/A	
PF3D7_0113400	PF3D7_0113400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:508,252..509,748(-)	Plasmodium exported protein, unknown function	protein coding	PF3D7_0113400	N/A	
PF3D7_0113600	PF3D7_0113600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:512,086..517,855(+)	surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene	protein coding	PF3D7_0113600	SURF1.2	
PF3D7_0113700	PF3D7_0113700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:520,807..522,579(+)	heat shock protein 40, type II	protein coding	PF3D7_0113700	HSP40	
PF3D7_0113800	PF3D7_0113800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:527,107..536,351(+)	DBL containing protein, unknown function	protein coding	PF3D7_0113800	N/A	
PF3D7_0113900	PF3D7_0113900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:537,109..538,025(-)	CX3CL1-binding protein 1	protein coding	PF3D7_0113900	CBP1	
PF3D7_0114000	PF3D7_0114000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:542,480..546,983(+)	exported protein family 1	protein coding	PF3D7_0114000	EPF1	
PF3D7_0114100	PF3D7_0114100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:547,597..548,380(-)	Pfmc-2TM Maurer's cleft two transmembrane protein	protein coding	PF3D7_0114100	MC-2TM	
PF3D7_0114200	PF3D7_0114200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:550,576..551,713(-)	exported protein family 3	protein coding	PF3D7_0114200	EPF3	
PF3D7_0114300	PF3D7_0114300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:552,640..553,797(+)	exported protein family 4, pseudogene	protein coding	PF3D7_0114300	EPF4	
PF3D7_0114400	PF3D7_0114400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:554,057..555,439(-)	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	PF3D7_0114400	VAR	
PF3D7_0114500	PF3D7_0114500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:558,201..558,708(-)	Plasmodium exported protein (hyp10), unknown function	protein coding	PF3D7_0114500	N/A	
PF3D7_0114600	PF3D7_0114600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:560,474..561,534(-)	stevor, pseudogene	protein coding	PF3D7_0114600	N/A	
PF3D7_0114700	PF3D7_0114700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:563,703..564,842(-)	rifin	protein coding	PF3D7_0114700	RIF	
PF3D7_0114800	PF3D7_0114800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:569,485..570,272(-)	Plasmodium exported protein (hyp7), unknown function	protein coding	PF3D7_0114800	N/A	
PF3D7_0114900	PF3D7_0114900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:572,135..572,853(-)	Plasmodium exported protein, unknown function, pseudogene	protein coding	PF3D7_0114900	N/A	
PF3D7_0115000	PF3D7_0115000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:577,704..583,789(+)	surface-associated interspersed protein 1.3 (SURFIN 1.3)	protein coding	PF3D7_0115000	SURF1.3	
PF3D7_0115100	PF3D7_0115100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:587,391..588,394(+)	Plasmodium exported protein (PHISTa), unknown function	protein coding	PF3D7_0115100	N/A	
PF3D7_0115200	PF3D7_0115200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:591,849..593,187(+)	rifin	protein coding	PF3D7_0115200	RIF	
PF3D7_0115300	PF3D7_0115300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:595,102..596,273(+)	rifin	protein coding	PF3D7_0115300	RIF	
PF3D7_0115400	PF3D7_0115400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:598,465..599,472(+)	stevor	protein coding	PF3D7_0115400	N/A	
PF3D7_0115500	PF3D7_0115500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:600,692..601,992(+)	erythrocyte membrane protein 1 (PfEMP1), pseudogene	protein coding	PF3D7_0115500	N/A	
PF3D7_0115600	PF3D7_0115600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:604,162..605,531(+)	rifin	protein coding	PF3D7_0115600	RIF	
PF3D7_0115700	PF3D7_0115700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:607,390..614,893(-)	erythrocyte membrane protein 1, PfEMP1	protein coding	PF3D7_0115700	VAR	
PF3D7_0200100	PF3D7_0200100.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:25,232..31,168(+)	erythrocyte membrane protein 1, PfEMP1	protein coding	PF3D7_0200100	VAR	
PF3D7_0200200	PF3D7_0200200.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:33,030..34,259(-)	rifin	protein coding	PF3D7_0200200	RIF	
PF3D7_0200300	PF3D7_0200300.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:35,927..37,249(-)	erythrocyte membrane protein 1 (PfEMP1), exon 2	protein coding	PF3D7_0200300	N/A	
PF3D7_0200400	PF3D7_0200400.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:38,287..39,303(-)	stevor	protein coding	PF3D7_0200400	N/A	
PF3D7_0200500	PF3D7_0200500.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:41,515..42,858(-)	rifin	protein coding	PF3D7_0200500	RIF	
PF3D7_0200600	PF3D7_0200600.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:45,286..46,558(-)	rifin	protein coding	PF3D7_0200600	RIF	
PF3D7_0200700	PF3D7_0200700.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:48,923..50,147(-)	rifin	protein coding	PF3D7_0200700	RIF	
PF3D7_0200800	PF3D7_0200800.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:51,842..53,055(-)	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	protein coding	PF3D7_0200800	N/A	
PF3D7_0200900	PF3D7_0200900.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:54,254..55,255(-)	stevor, pseudogene	protein coding	PF3D7_0200900	N/A	
PF3D7_0201000	PF3D7_0201000.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:57,344..58,421(-)	rifin	protein coding	PF3D7_0201000	RIF	
PF3D7_0201100	PF3D7_0201100.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:60,107..60,319(-)	Plasmodium exported protein, unknown function, fragment	protein coding	PF3D7_0201100	N/A	
PF3D7_0201200	PF3D7_0201200.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:63,157..64,376(+)	rifin	protein coding	PF3D7_0201200	RIF	
PF3D7_0201300	PF3D7_0201300.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:66,529..67,545(+)	stevor	protein coding	PF3D7_0201300	N/A	
PF3D7_0201400	PF3D7_0201400.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:69,088..69,771(+)	Plasmodium exported protein (hyp10), unknown function	protein coding	PF3D7_0201400	N/A	
PF3D7_0201500	PF3D7_0201500.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:73,441..74,396(-)	Plasmodium exported protein (hyp9), unknown function	protein coding	PF3D7_0201500	N/A	
PF3D7_0201600	PF3D7_0201600.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:77,251..78,808(-)	PHISTb domain-containing RESA-like protein 1	protein coding	PF3D7_0201600	RLP1	
PF3D7_0201700	PF3D7_0201700.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:81,291..84,165(-)	DnaJ protein, putative	protein coding	PF3D7_0201700	N/A	
PF3D7_0201800	PF3D7_0201800.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:86,832..88,791(-)	knob associated heat shock protein 40	protein coding	PF3D7_0201800	KAHsp40	
PF3D7_0201900	PF3D7_0201900.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:91,318..98,838(-)	erythrocyte membrane protein 3	protein coding	PF3D7_0201900	EMP3	
PF3D7_0202000	PF3D7_0202000.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:103,385..105,796(-)	knob-associated histidine-rich protein	protein coding	PF3D7_0202000	KAHRP	
PF3D7_0202100	PF3D7_0202100.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:109,564..110,580(-)	liver stage associated protein 2	protein coding	PF3D7_0202100	LSAP2	
PF3D7_0202200	PF3D7_0202200.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:112,547..113,682(-)	EMP1-trafficking protein	protein coding	PF3D7_0202200	PTP1	
PF3D7_0202300	PF3D7_0202300.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:117,225..118,235(+)	Plasmodium exported protein (hyp11), unknown function	protein coding	PF3D7_0202300	N/A	
PF3D7_0202400	PF3D7_0202400.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:120,524..124,102(+)	translation-enhancing factor	protein coding	PF3D7_0202400	PTEF	
