Gene.ID	Gene.Name.or.Symbol	Product.Description	Antisense.Sporozoite_vs_Oocyst_logFC	Antisense.Sporozoite_vs_Oocyst_test	Antisense.Blood_vs_Oocyst_logFC	Antisense.Blood_vs_Oocyst_test	Sense.Sporozoite_vs_Oocyst_logFC	Sense.Sporozoite_vs_Oocyst_test	Sense.Blood_vs_Oocyst_logFC	Sense.Blood_vs_Oocyst_test
PF3D7_1110700	ALP1	actin-like protein, putative	3.06871637197245	1	2.88134563356098	1	7.74182898142468	1	1.05023308731594	0
PF3D7_1129600	N/A	phosphatidylinositol-4-phosphate 5-kinase, putative	1.47876182653867	0	4.3588519057399	1	3.96856206087441	1	4.87186575415259	1
PF3D7_1107800	ApiAP2	AP2 domain transcription factor, putative	3.8929700957422	1	2.52832876632959	1	5.65019820876145	1	2.52487576796266	1
PF3D7_1029900	N/A	conserved Plasmodium protein, unknown function	1.18628057606026	0	3.45354058779251	1	4.41409487504362	1	5.52834894220158	1
PF3D7_1143100	ApiAP2	AP2 domain transcription factor AP2-O, putative	2.82101091415225	1	3.34234437786346	1	4.79908055161942	1	3.61699797801987	1
PF3D7_0421700	N/A	conserved Plasmodium protein, unknown function	3.2594588417906	1	0.464900626819716	0	6.46230836399047	1	4.19366352162605	1
PF3D7_0809200	pfa55-14	asparagine-rich antigen Pfa55-14	2.47876182648961	1	4.04986312681408	1	3.44910852840535	1	4.17884377624156	1
PF3D7_0403900	SET8	SET domain protein, putative	3.0769604331371	1	2.54986312722664	1	4.58725171364532	1	3.76433619119896	1
PF3D7_1427100	N/A	lipase, putative	2.63282297431704	1	2.01466846320915	1	5.36555931857169	1	3.90825328229718	1
PF3D7_0516500	MFS1	major facilitator superfamily domain-containing protein, putative	2.66595958442756	1	2.62586467414788	1	0.350042461894799	0	8.01050489192822	1
PF3D7_1359900	N/A	conserved Plasmodium membrane protein, unknown function	3.29747678691473	1	2.62586467420266	1	4.78406569167973	1	2.86534334566827	1
PF3D7_0109100	CCp5	LCCL domain-containing protein	0.0750843659088422	0	1.08342022494876	0	5.99620327868216	1	6.39485589486513	1
PF3D7_0806600	N/A	kinesin-like protein, putative	1.18628057529239	0	3.04986312645371	1	4.62952610802848	1	4.31195144817756	1
PF3D7_0704100	BTP2	basal complex transmembrane protein 2	1.31779777954807	0	3.29578967553606	1	3.9410806669045	1	4.48115501866199	1
PF3D7_1138000	N/A	conserved Plasmodium protein, unknown function	1.4787618257708	0	3.27957893543421	1	3.40350006393526	1	4.5855785187363	1
PF3D7_0729900	N/A	dynein heavy chain, putative	-0.0767538293111953	0	1.04986312715546	0	6.45436024435606	1	5.15126702524117	1
PF3D7_1216700	PLP2	perforin-like protein 2	2.65401045044777	1	0.888899079925705	0	7.59066187961357	1	1.36219591574913	0
PF3D7_1208800	N/A	zinc finger protein, putative	1.87476530572507	1	1.4649006265977	1	5.46103827005244	1	3.68274870459194	1
PF3D7_1224200	N/A	BRO1 domain-containing protein, putative	2.72575624733418	1	2.58505779113796	1	4.1250681972205	1	3.03057944841983	1
PF3D7_1244700	N/A	conserved protein, unknown function	3.69931172483766	1	1.1946164357679	0	5.81520801259208	1	1.72476599511044	0
PF3D7_1119700	N/A	conserved Plasmodium protein, unknown function	3.1749205379147	1	1.75738187711955	0	4.36971290787802	1	3.03245112842578	1
PF3D7_0715200	N/A	conserved Plasmodium protein, unknown function	0.393799326397846	0	4.59388915603009	1	2.35174633762172	1	4.96234365972648	1
PF3D7_0829500	N/A	conserved Plasmodium protein, unknown function	0.978761826948881	0	0.049863127411012	0	7.43375153480836	1	3.71340595627405	1
PF3D7_1216400	N/A	conserved Plasmodium membrane protein, unknown function	3.34724462323675	1	3.21082717356492	1	4.05612626503861	1	1.46287749493823	0
PF3D7_1131800	N/A	oxysterol-binding protein, putative	3.13972587468051	1	2.67382688415139	1	4.35563899196319	1	1.80260982614873	1
PF3D7_1411200	ROM8	rhomboid protease ROM8	3.13972587342397	1	3.47608453233914	1	3.9696498262647	1	1.36632349888421	0
PF3D7_0717500	CDPK4	calcium-dependent protein kinase 4	2.64571219518324	1	1.75738187703739	0	4.8978246973262	1	2.58540351342305	1
PF3D7_0932000	N/A	conserved Plasmodium protein, unknown function	3.24401918497936	1	3.16105933760905	1	4.47637517850261	1	0.938008007968647	0
PF3D7_1136900	SUB2	subtilisin-like protease 2	4.08995803726296	1	1.75738187658025	1	5.6309123774135	1	0.305425775406091	0
PF3D7_0730300	ApiAP2	AP2 domain transcription factor AP2-L, putative	3.41599638524346	1	2.79257654072477	1	4.60249965622702	1	0.967720031400454	0
PF3D7_1244600	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1	5.16143701439266	1	0.757381877147976	0	5.91948874347391	1	-0.199448463017227	0
PF3D7_1425400	N/A	DEAD/DEAH box helicase, putative	1.39379932593643	0	3.08886438290476	1	3.65910068428527	1	3.4406120679138	1
PF3D7_1231400	N/A	amino acid transporter, putative	2.29747678707463	1	1.75738187686606	0	4.35856350281468	1	3.15400894211182	1
PF3D7_0808200	PMX	plasmepsin X	5.49340544072733	1	0.464900626819716	0	6.87825829096569	1	-1.32432862903954	0
PF3D7_0503200	CDC6	cell division control protein 6, putative	1.1862805763434	0	2.88889907961147	1	3.46919753159478	1	3.8785023002444	1
PF3D7_0212800	MATE	multidrug efflux pump, putative	3.27124307632762	1	1.5498631266227	0	4.8970846891352	1	1.64107398071145	0
PF3D7_0728600	N/A	RING zinc finger protein, putative	2.45844083481185	1	2.04986312733956	1	4.33053681854905	1	2.4208257493937	1
PF3D7_0909200	POFUT2	GDP-fucose protein O-fucosyltransferase 2	1.68628057558676	0	0.757381876262124	0	5.05756121180463	1	3.73963966674491	1
PF3D7_1115200	SET7	histone-lysine N-methyltransferase SET7	1.47876182710925	0	3.47051425431809	1	2.85381028586827	1	3.43131232126625	1
PF3D7_1231000	N/A	conserved Plasmodium protein, unknown function	2.08995803713956	1	3.04986312694083	1	2.63188538232785	1	3.46079477255533	1
PF3D7_1417400	EPAC	rap guanine nucleotide exchange factor, putative, pseudogene	3.81518877021446	1	-0.1504058373568	0	5.50075744745701	1	2.03111405734567	1
PF3D7_0107600	eIK2	eukaryotic translation initiation factor 2-alpha kinase 2, putative	3.27623512170269	1	0.18138033047942	0	6.63523386841228	1	1.08721237548365	0
PF3D7_0632500	VAR	erythrocyte membrane protein 1, PfEMP1	2.47876182591798	1	1.25738187600863	0	4.75371992271284	1	2.68618206427662	1
PF3D7_0916000	MFS2	major facilitator superfamily domain-containing protein, putative	-0.0212381730575375	0	2.56473679927411	1	4.00887210090328	1	4.5338753098531	1
PF3D7_0924000	N/A	patatin-like phospholipase, putative	2.42899398982004	1	2.68138033005655	1	3.85503450623266	1	2.05180135800613	1
PF3D7_1351600	GK	glycerol kinase	0.0253165291563413	0	3.99902105706979	1	2.84866420027278	1	4.13620691139103	1
PF3D7_1439500	ORP2	oocyst rupture protein 2, putative	3.09317117215099	1	1.34234437790145	0	4.92392057234817	1	1.59851859378063	0
PF3D7_1028700	MTRAP	merozoite TRAP-like protein	3.47876182708965	1	0.418345924877466	0	5.82670180075957	1	1.19826945115011	0
PF3D7_1030300	N/A	conserved Plasmodium protein, unknown function	2.18628057648525	1	2.24602183875211	1	3.69752128860204	1	2.77961098564394	1
PF3D7_1311600	N/A	conserved Plasmodium protein, unknown function	2.74401918551359	1	1.73706088488705	1	4.7659913289411	1	1.65039790419809	1
PF3D7_1340900	PiT	sodium-dependent phosphate transporter	1.9159963859778	1	2.3151204856195	1	4.11975635237239	1	2.54167654233409	1
PF3D7_1023000	N/A	conserved Plasmodium protein, unknown function	3.03650043507607	1	2.0000952902797	1	5.35493420057636	1	0.47327339565355	0
PF3D7_1441600	N/A	acid cluster protein 33 homologue, putative	3.34724462305994	1	1.25738187626212	0	4.39441236407945	1	1.85383721788328	1
PF3D7_1458300	N/A	alpha/beta hydrolase, putative	3.45972780620813	1	0.842344377457358	0	5.45730761353569	1	0.770816862812696	0
PF3D7_1344300	N/A	zinc finger protein, putative	2.2602299241657	1	2.46284842739991	1	3.78879405116073	1	1.9950677621371	1
PF3D7_1231800	N/A	asparagine-rich protein, putative	2.27921384882941	1	1.75738187674527	0	3.82148273696734	1	2.57875797028875	1
PF3D7_1322500	DHHC5	palmitoyltransferase DHHC5	2.99152937287694	1	0.146185666389581	0	5.69483091767366	1	1.59686818838235	1
PF3D7_1417600	N/A	conserved Plasmodium protein, unknown function	3.06372432736078	1	0.464900626500614	0	4.95703731984503	1	1.94350543793158	1
PF3D7_1033900	N/A	ubiquitin-conjugating enzyme E2, putative	0.867565616033762	0	2.20392427449919	1	4.29679085133588	1	2.96569789599573	1
PF3D7_1121000	DHHC3	palmitoyltransferase DHHC3	2.58995803743521	1	0.918345924563234	0	4.50680038957291	1	2.10379580771397	1
PF3D7_1116500	FT2	folate transporter 2	1.27124307706882	0	2.98709768584361	1	0.5426875398758	0	5.28312362643014	1
PF3D7_0827200	N/A	conserved Plasmodium protein, unknown function	0.246071384376611	0	2.22260453841388	1	1.81901197758265	1	5.61971511525162	1
PF3D7_1122700	N/A	conserved Plasmodium protein, unknown function	0.393799326151292	0	3.52954213472837	1	5.48343573255155	1	0.319751466917025	0
PF3D7_1464600	UIS2	serine/threonine protein phosphatase UIS2, putative	2.88529611353566	1	0.987097686110707	0	4.69706969198047	1	1.10620653242045	0
PF3D7_0609700	KIC6	protein KIC6	2.63282297455768	1	0.514668463472683	0	4.69345407560641	1	1.82028012026949	1
PF3D7_1423600	N/A	calcium-dependent protein kinase, putative	1.97876182584922	1	3.41834592345231	1	1.91476808807814	1	2.33245737774122	1
PF3D7_0110000	N/A	conserved Plasmodium protein, unknown function	-0.106200673534476	0	2.38134563350501	1	2.95424203680574	1	4.39064813318803	1
PF3D7_0705500	N/A	inositol-phosphate phosphatase, putative	2.49276901502602	1	2.24129167374678	0	3.31749736930939	1	1.54321531479447	0
PF3D7_0931700	N/A	PIH1 domain-containing protein, putative	2.43753074674874	0	-0.535099373241025	0	5.56149533339164	1	2.11018051804589	0
PF3D7_0809800	N/A	conserved Plasmodium protein, unknown function	0.44356716312151	0	3.78811569333396	1	2.26829309578228	1	2.92140163047074	1
PF3D7_1328800	SIR2A	transcriptional regulatory protein sir2a	-0.106200673893828	0	1.66105933783581	0	4.58302969401623	1	3.18618206425699	1
PF3D7_1245800	EpsL	epsin-like protein, putative	0.97876182662823	0	3.10760173576111	1	3.6118394658743	1	1.5038958483023	0
PF3D7_0525300	N/A	conserved protein, unknown function	0.186280576464055	0	2.50330842518165	1	2.80526666953237	1	3.70519601535646	1
PF3D7_1008500	N/A	protein GPR89, putative	5.09557166523299	1	2.54986312722664	1	1.01951797304097	0	0.455968018670111	0
PF3D7_1338000	N/A	LMBR1 domain-containing protein, putative	2.05476337318261	1	3.28682872136053	1	3.8141826078937	1	-0.24005449552638	0
PF3D7_1414500	ABCk2	atypical protein kinase, ABC-1 family, putative	1.97876182694324	1	2.48298743282025	1	2.82977245739677	1	1.59994861217403	1
PF3D7_0907800	N/A	ribosomal protein L35, apicoplast, putative	1.52531652868184	0	1.88889907969597	1	3.33162407803016	1	2.13569324120919	1
PF3D7_1322300	N/A	conserved Plasmodium protein, unknown function	0.762282123142143	0	2.99434747066147	1	2.47469260953645	1	2.63321828914327	1
PF3D7_0404600	N/A	conserved Plasmodium membrane protein, unknown function	0.943567163005024	0	2.34615096976918	0	2.50732007179406	1	3.03396109006046	1
PF3D7_0405700	N/A	lysine decarboxylase, putative	3.40964500490622	1	0.146185666159846	0	4.93517207608918	1	0.114955744794405	0
PF3D7_1107100	N/A	nucleic acid binding protein, putative	2.47876182677541	1	0.757381877119553	0	4.29411947826153	1	1.05502276151469	0
PF3D7_1436300	PTEX150	translocon component PTEX150	1.24904601776664	0	2.23236153583764	0	3.37767295232554	1	1.69140174238883	0
PF3D7_0523800	N/A	divalent metal transporter, putative	0.317797779013063	0	3.63482562786081	1	1.94255840874566	1	2.60172382615901	1
PF3D7_0925200	RRP8	ribosomal RNA-processing protein 8, putative	3.19746448286323	1	0.964900626505484	0	4.00269885358293	1	0.242535485351743	0
PF3D7_0318500	N/A	conserved Plasmodium protein, unknown function	1.64254915563161	1	-0.431102852507911	0	5.29727957400692	1	1.84551661700896	1
PF3D7_1143700	N/A	conserved Plasmodium protein, unknown function	0.186280575960114	0	2.04986312668344	0	2.5797582713885	1	3.49353698685735	1
PF3D7_0420300	ApiAP2	AP2 domain transcription factor, putative	4.29344013692855	1	-0.146295583970997	0	4.99517084654416	1	-0.835248003923605	0
PF3D7_0911900	ICP	falstatin	2.5139564907224	1	1.09641782967377	0	4.23429911322447	1	0.415833297809894	0
PF3D7_0903300	N/A	conserved protein, unknown function	1.18628057529239	0	1.9183459237058	0	3.22365942682022	1	1.92994902438863	0
PF3D7_1246900	PKB	RAC-beta serine/threonine protein kinase	2.31967384689654	1	0.418345924596116	0	4.57455159787518	1	0.941789441778413	0
PF3D7_0209700	N/A	RING zinc finger protein, putative	2.51395649040053	1	0.388899079864964	0	4.1360480306719	1	1.11449579440547	0
PF3D7_1415700	SPT	serine palmitoyltransferase, putative	0.33606071755618	0	0.0681260654753246	0	5.16563098984519	1	2.55927412669513	1
PF3D7_1107900	MSCS	mechanosensitive ion channel protein, putative	-0.813719423418116	0	3.00330842559862	1	1.54917877032117	0	4.32612754142242	1
PF3D7_1309200	PPM6	protein phosphatase PPM6, putative	3.00095888647999	1	1.25738187686606	0	2.51350036691535	1	1.2242800751929	0
PF3D7_1446300	N/A	conserved Plasmodium membrane protein, unknown function	2.23604841323485	1	1.30714971388396	0	3.45279559132374	1	0.964412636307092	0
PF3D7_1216200	N/A	glycerol-3-phosphate dehydrogenase [NAD(+)], putative	0.893799326112036	0	4.23834785646281	1	1.22299182153484	0	1.59866465185009	0
PF3D7_1107300	PAIP1	polyadenylate-binding protein-interacting protein 1, putative	2.10029270624835	1	1.54986312735914	1	3.51539007908654	1	0.668759109930409	0
PF3D7_0933000	N/A	CSTF domain-containing protein, putative	1.28260311514572	0	2.37590147505585	1	2.82569969846087	1	1.33740490138759	0
PF3D7_1456000	ApiAP2	AP2 domain transcription factor, putative	3.03650043508256	1	0.257381876576356	0	5.00733256956766	1	-0.500250465406387	0
PF3D7_1467900	N/A	rab GTPase activator, putative	2.17492053780134	1	1.54986312701228	0	3.30409975486998	1	0.749432579271845	0
PF3D7_1472600	PDI-14	protein disulfide-isomerase	1.76901325344402	1	0.464900626645888	0	4.22129435062633	1	1.28162618531362	0
PF3D7_1449500	ApiAP2	AP2 domain transcription factor AP2-O5, putative	1.18628057665049	0	2.21082717475482	1	3.03270648774011	1	1.30002179115475	0
PF3D7_0720700	N/A	phosphoinositide-binding protein, putative	1.45844083509766	1	1.36857808788473	0	3.52544201085839	1	1.37118202616785	0
PF3D7_1404900	N/A	conserved Plasmodium protein, unknown function	1.63972587462164	1	0.964900626819716	0	3.7795457042942	1	1.32322072008334	0
PF3D7_0107500	NCR1	Niemann-Pick type C1-related protein	1.54872695758868	0	1.18360328255022	0	3.27510507635384	1	1.63573955384353	0
PF3D7_0207100	N/A	conserved Plasmodium protein, unknown function	4.29828141370663	1	0.0964178296737663	0	3.02363094517539	1	0.130586710529252	0
PF3D7_1023900	CHD1	chromodomain-helicase-DNA-binding protein 1 homolog, putative	2.44176153609143	1	0.888899079913557	0	4.17126847515691	1	0.0377826684125138	0
PF3D7_1303500	NHE	sodium/hydrogen exchanger	1.9631097668805	1	0.481111365567709	0	4.25155103260757	1	0.824411555927469	0
PF3D7_0607600	SAS6	spindle assembly abnormal protein 6, putative	0.317797779013062	0	2.84234437716776	1	2.5417067819306	1	1.78895984668904	0
PF3D7_0919900	RCC-PIP	regulator of chromosome condensation-PP1-interacting protein	0.755032338203847	0	0.858198807433373	0	3.28573409331715	1	2.55605626239413	1
PF3D7_1026100	N/A	conserved Plasmodium protein, unknown function	-0.424915633776926	0	2.48709768630732	1	1.66109159519633	0	3.7264340711936	1
PF3D7_1025500	N/A	conserved Plasmodium protein, unknown function	0.478761826920091	0	2.04382671125531	1	1.43559405834911	0	3.46223405339088	1
PF3D7_1222500	DPH6	diphthine--ammonia ligase, putative	2.68628057701692	1	1.41834592460373	0	3.91942057098385	1	-0.706521597096597	0
PF3D7_1330500	N/A	CTLH domain-containing protein, putative	2.55605034562182	1	0.0498631273661219	0	3.67292023854066	1	0.977847183739607	0
PF3D7_1112100	N/A	conserved Plasmodium protein, unknown function	0.637849806868709	0	2.07743390459876	1	3.90232042767201	1	0.63348969013756	0
PF3D7_1017000	N/A	DNA polymerase delta catalytic subunit	1.18628057659044	0	1.91834592409019	0	2.83239209717184	1	1.31335336566836	0
PF3D7_0213800	N/A	conserved protein, unknown function	-0.474683471111857	0	2.58505779090823	1	2.03240173508452	1	3.09357123018496	1
PF3D7_1466400	ApiAP2	AP2 domain transcription factor AP2-EXP	2.28378856755815	1	0.168612783918372	0	4.19491513196621	1	0.579679162644431	0
PF3D7_1017400	PMM	phosphomannomutase, putative	1.00499553693301	0	1.07609683742888	0	3.2019506504875	1	1.90379600468104	1
PF3D7_0820500	YIF1	protein transport protein YIF1, putative	1.31779777916025	0	2.54986312705515	1	2.05602151499028	1	1.18163245863837	0
PF3D7_0408500	FEN1	flap endonuclease 1	0.393799326151291	0	1.25738187658025	0	3.80282414627829	1	1.62669093224809	1
PF3D7_1021900	N/A	PHAX domain-containing protein, putative	1.73084352135543	1	-0.286349543825922	0	4.54958965764051	1	1.02504037514753	0
PF3D7_0409900	ALP5b	actin-like protein, putative	0.880563220435874	0	0.320147318081429	0	1.85004246199723	1	3.9599259623259	1
PF3D7_1405700	N/A	RING zinc finger protein, putative	1.77124307749929	1	-0.242618122566215	0	4.52921074602245	1	0.939100677231632	0
PF3D7_0410700	RbgA	ribosome biogenesis GTPase A, putative	1.77124307743263	0	0.257381877262299	0	3.87149317450594	1	1.0359107446787	0
PF3D7_1102400	PPCS	phosphopantothenate--cysteine ligase, putative	0.478761827020879	0	2.00330842539583	1	1.64252371246019	1	2.73219255929981	1
PF3D7_0316600	FNT	formate-nitrite transporter	1.70781493756163	0	0.527666067763449	0	4.22183236696241	1	0.378759065504881	0
PF3D7_1235800	N/A	peptidase, putative	0.771243076970696	0	2.46207734455245	1	0.218525259176722	0	3.35777966853841	1
PF3D7_1403900	CPPED1	serine/threonine protein phosphatase CPPED1, putative	-0.106200674143077	0	3.73834785587556	1	2.59625679732179	1	0.559820715965024	0
PF3D7_0622900	AP2Tel	AP2 domain transcription factor AP2Tel	1.34724462404244	0	1.79257654099072	1	2.66899319521581	1	0.95305373476776	0
PF3D7_1227500	SOC2	protein SOC2, putative	-1.54343523257905	0	2.06607386622205	1	2.16579500535192	1	4.04459449778159	1
PF3D7_1116100	N/A	serine esterase, putative	1.04751358905795	0	0.388899080287835	0	3.73066844189606	1	1.56332143809142	0
PF3D7_1008100	PHD1	PHD finger protein PHD1	1.67042614676321	0	1.19175961039312	0	3.00446438073614	1	0.844046289714514	0
PF3D7_0518700	PUF1	mRNA-binding protein PUF1	-0.767164721616434	0	2.9749739129672	1	1.73460236154128	0	2.75329272093474	1
PF3D7_0825000	N/A	conserved Plasmodium protein, unknown function	0.686280576592433	0	2.68325639771201	1	1.2383945625533	0	2.08148846174629	1
PF3D7_0810300	PPM5	protein phosphatase PPM5, putative	0.136512739970618	0	0.654156438097611	0	2.73082999310263	1	3.16001587373841	1
PF3D7_1116700	DPAP1	dipeptidyl aminopeptidase 1	2.81819314666088	0	-0.22388077049981	0	4.72783206044741	1	-0.72863591211992	0
PF3D7_1319600	N/A	ACDC domain-containing protein, putative	1.2915640694865	0	0.777702869298334	0	2.28289752075153	1	2.22693308571795	1
PF3D7_0315700	N/A	conserved Plasmodium membrane protein, unknown function	2.64504949660712	1	0.494347471301928	0	-0.0536349991775553	0	3.40938289985033	1
PF3D7_0515600	GEP	gamete egress protein GEP, putative	-0.0212381729935291	0	2.63482562817504	1	-0.0739559911838548	0	3.93813456289914	1
PF3D7_0629800	N/A	cullin-like protein, putative	1.27124307736705	0	0.757381877008808	0	3.47501345310573	1	0.921791095414307	0
PF3D7_1223100	PKAr	cAMP-dependent protein kinase regulatory subunit	0.97876182692009	0	0.946637688603042	0	2.98703927086482	1	1.4977290496321	0
PF3D7_0811300	CAF1	CCR4-associated factor 1	1.35397575378499	0	1.07930997188192	0	2.64308398214911	1	1.26487586185101	0
PF3D7_1435600	N/A	conserved Plasmodium protein, unknown function	0.647279320537365	0	2.48363797937342	1	0.786958462512601	0	2.36711790040753	1
PF3D7_0209000	P230	6-cysteine protein P230	-0.406652696084576	0	1.86060731605665	0	1.26522543804202	0	3.52856030026487	1
PF3D7_0932200	PFN	profilin	2.58995803744664	1	0.257381877121886	0	4.08266034454089	1	-0.702250079113631	0
PF3D7_0709100	N/A	Cg1 protein	0.131641405938034	0	0.949107098035285	0	1.25131942981822	0	3.88850420622288	1
PF3D7_1202500	TGS1	trimethylguanosine synthase, putative	0.268080159922927	0	0.0636972320091722	0	1.90620824686426	1	3.98057892832161	1
PF3D7_1429900	WRN	ADP-dependent DNA helicase RecQ	1.1102790297491	0	0.757381876798035	0	2.89342447723427	1	1.44159780850967	0
PF3D7_0212700	N/A	SRR1-like protein	0.525316529035327	0	1.54986312713965	0	2.13199290429875	1	1.98469615704536	0
PF3D7_0612800	P12p	6-cysteine protein	2.23604841328694	1	-1.43877683418283	-1	4.84114751797247	1	0.429346461309341	0
PF3D7_0624600	ISWI	SNF2 helicase, putative	1.139725874568	0	0.500095290388626	0	2.89421715429209	1	1.49166332036024	0
PF3D7_0626400	N/A	CRAL/TRIO domain-containing protein, putative	1.36756561637252	0	0.646185666474078	0	3.50401735384601	1	0.498861574316512	0
PF3D7_0109500	N/A	N-acetyltransferase, GNAT family, putative	0.393799325503435	0	1.46490062621967	1	1.9700376110743	1	2.18101990342621	1
PF3D7_1365600	TOP6B	DNA topoisomerase 6 subunit B, putative	1.76494305894846	0	-1.0043991009722	0	3.92956080477955	1	1.30832098781361	0
PF3D7_0627300	RNF5	E3 ubiquitin-protein ligase RNF5, putative	1.9581136184815	1	-0.0702940375627059	0	4.13904457031148	1	-0.188464308472382	0
PF3D7_0611800	N/A	conserved Plasmodium protein, unknown function	1.49799890081835	0	0.450128488939574	0	3.39078641112633	1	0.455717648014919	0
PF3D7_1403500	N/A	dynein light chain, putative	0.186280576797679	0	2.04986312731114	1	1.61101881332193	1	1.94451126620358	1
PF3D7_1028500	N/A	partial CSTF domain-containing protein, putative	0.999082819040174	0	0.681380330277606	0	2.8935352482446	1	1.19923153806951	0
PF3D7_1142300	N/A	conserved Plasmodium membrane protein, unknown function	2.31779777997571	1	-0.611100919881158	0	4.39678499078089	1	-0.341633068839398	0
PF3D7_0717600	N/A	conserved Plasmodium protein, unknown function	-0.898681924507325	0	2.59390879183137	1	1.17317691238681	0	2.87975799957449	1
PF3D7_0622700	N/A	conserved Plasmodium membrane protein, unknown function	0.393799326293101	0	2.66105933814057	1	2.36589689188513	1	0.319751466893851	0
PF3D7_0927900	PSD	phosphatidylserine decarboxylase	1.34724462423137	1	0.833383423858248	0	3.21490593455927	1	0.286961298404522	0
PF3D7_1331100	POLQ	DNA polymerase theta, putative	1.21251428646769	0	0.379938125898545	0	3.30806794661033	1	0.689261007294053	0
PF3D7_1125300	mtRNAP	DNA-directed RNA polymerase	1.46255108788464	1	0.207614040331218	0	3.47333790265196	1	0.433598339585044	0
PF3D7_1445000	N/A	prolyl hydroxylase-like protein, putative	1.04152726799794	0	-0.264815182681625	0	3.87400970105573	1	0.908054000440391	0
PF3D7_0410800	N/A	conserved Plasmodium protein, unknown function	0.782603115750589	0	0.888899079911854	0	2.74448812008432	1	1.0944621604566	0
PF3D7_1325800	N/A	conserved Plasmodium protein, unknown function	0.686280576049034	0	-0.403582170495614	0	4.12742359354507	1	1.09365621830954	0
PF3D7_0626000	N/A	conserved Plasmodium protein, unknown function	0.375536388028547	0	1.41834592427388	0	1.78240993597668	1	1.92107554663755	1
PF3D7_1418800	N/A	signal recognition particle RNA	1.2695879148355	0	0.564077331410736	0	2.92788602271023	1	0.698579356990434	0
PF3D7_1133500	N/A	conserved Plasmodium protein, unknown function	0.978761826628229	0	0.257381877119553	0	4.10321879495149	1	0.106246396096491	0
PF3D7_1019100	N/A	conserved Plasmodium protein, unknown function	0.344597474306833	0	-0.300356731575588	0	3.33481016460692	1	2.04712039566023	0
PF3D7_1344800	ATCase	aspartate carbamoyltransferase	1.27124307728493	0	2.53082910662182	1	1.767041034074	1	-0.215115981291426	0
PF3D7_0801800	N/A	mannose-6-phosphate isomerase, putative	0.686280576541149	0	0.70761404016482	0	2.58581892091955	1	1.36791808732742	0
