Gene ID	source_id	Gene Type	Input ID	Gene Name or Symbol	gene_source_id	EC numbers	Curated GO Process IDs	Curated GO Function IDs	Curated GO Component IDs	Genomic Sequence ID	
TGME49_201680	TGME49_201680-t26_1	protein coding gene	20.m03667	N/A	TGME49_201680	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201690	TGME49_201690-t26_1	protein coding gene	20.m03988	N/A	TGME49_201690	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201700	TGME49_201700-t26_1	protein coding gene	20.m03668	N/A	TGME49_201700	2.3.1.48 (Histone acetyltransferase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201710	TGME49_201710-t26_1	protein coding gene	20.m03669	N/A	TGME49_201710	2.3.1.48 (Histone acetyltransferase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201720	TGME49_201720-t26_1	protein coding gene	20.m03670	N/A	TGME49_201720	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201730	TGME49_201730-t26_1	protein coding gene	20.m07354	N/A	TGME49_201730	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201740	TGME49_201740-t26_1	protein coding gene	20.m03671	N/A	TGME49_201740	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201750	TGME49_201750-t26_1	protein coding gene	20.m03672	N/A	TGME49_201750	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201760	TGME49_201760-t26_1	protein coding gene	20.m03673	N/A	TGME49_201760	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201770	TGME49_201770-t26_1	protein coding gene	20.m00354, 20.m05881	N/A	TGME49_201770	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201780	TGME49_201780-t26_1	protein coding gene	20.m00002	MIC2	TGME49_201780	N/A	N/A	N/A	GO:0045177;GO:0005886	TGME49_chrVIIa	
TGME49_201790	TGME49_201790-t26_1	protein coding gene	20.m03676	N/A	TGME49_201790	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201800	TGME49_201800-t26_1	protein coding gene	20.m05985	N/A	TGME49_201800	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201820	TGME49_201820-t26_1	protein coding gene	20.m03678	N/A	TGME49_201820	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201830	TGME49_201830-t26_1	protein coding gene	20.m03679	N/A	TGME49_201830	N/A	N/A	N/A	GO:0005761	TGME49_chrVIIa	
TGME49_201840	TGME49_201840-t26_1	protein coding gene	20.m03680	ASP1	TGME49_201840	3.4.23.5 (Cathepsin D)	N/A	N/A	GO:0045177;GO:0070258	TGME49_chrVIIa	
TGME49_201850	TGME49_201850-t26_1	protein coding gene	20.m03681	N/A	TGME49_201850	2.3.1.48 (Histone acetyltransferase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201860	TGME49_201860-t26_1	protein coding gene	20.m03682	N/A	TGME49_201860	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201870	TGME49_201870-t26_1	protein coding gene	20.m03683	N/A	TGME49_201870	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201880	TGME49_201880-t26_1	protein coding gene	20.m03684	N/A	TGME49_201880	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201890	TGME49_201890-t26_1	protein coding gene	20.m03685	N/A	TGME49_201890	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_201900	TGME49_201900-t26_1	protein coding gene	20.m03990	N/A	TGME49_201900	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202010	TGME49_202010-t26_1	protein coding gene	20.m05883	N/A	TGME49_202010	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202020	TGME49_202020-t26_1	protein coding gene	20.m00351	N/A	TGME49_202020	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202030	TGME49_202030-t26_1	protein coding gene	20.m03687	N/A	TGME49_202030	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202040	TGME49_202040-t26_1	protein coding gene	20.m03689	N/A	TGME49_202040	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202050	TGME49_202050-t26_1	protein coding gene	20.m03690	N/A	TGME49_202050	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202060	TGME49_202060-t26_1	protein coding gene	20.m03691	N/A	TGME49_202060	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202070	TGME49_202070-t26_1	protein coding gene	20.m03692	N/A	TGME49_202070	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202080	TGME49_202080-t26_1	protein coding gene	20.m05882	N/A	TGME49_202080	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202090	TGME49_202090-t26_1	protein coding gene	20.m03693	N/A	TGME49_202090	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202100	TGME49_202100-t26_1	protein coding gene	20.m03694	N/A	TGME49_202100	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202110	TGME49_202110-t26_1	protein coding gene	20.m03695	N/A	TGME49_202110	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202120	TGME49_202120-t26_1	protein coding gene	20.m03696	N/A	TGME49_202120	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202140	TGME49_202140-t26_1	protein coding gene	20.m03697	N/A	TGME49_202140	4.2.1.18 (Methylglutaconyl-CoA hydratase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202160	TGME49_202160-t26_1	protein coding gene	20.m07353	N/A	TGME49_202160	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202170	TGME49_202170-t26_1	protein coding gene	20.m05876	N/A	TGME49_202170	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202180	TGME49_202180-t26_1	protein coding gene	20.m03699	N/A	TGME49_202180	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202190	TGME49_202190-t26_1	protein coding gene	20.m03700	N/A	TGME49_202190	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202200	TGME49_202200-t26_1	protein coding gene	20.m00331	N/A	TGME49_202200	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202210	TGME49_202210-t26_1	protein coding gene	20.m03702	N/A	TGME49_202210	2.7.4.6 (Nucleoside-diphosphate kinase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202220	TGME49_202220-t26_1	protein coding gene	20.m03702	N/A	TGME49_202220	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202230	TGME49_202230-t26_1	protein coding gene	20.m03703	HDAC5	TGME49_202230	3.5.1.98 (Histone deacetylase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202240	TGME49_202240-t26_1	protein coding gene	20.m03704	N/A	TGME49_202240	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202250	TGME49_202250-t26_1	protein coding gene	20.m07351	N/A	TGME49_202250	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202260	TGME49_202260-t26_1	protein coding gene	20.m05890	N/A	TGME49_202260	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202280	TGME49_202280-t26_1	protein coding gene	20.m03706	N/A	TGME49_202280	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202290	TGME49_202290-t26_1	protein coding gene	20.m03708	N/A	TGME49_202290	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202300	TGME49_202300-t26_1	protein coding gene	20.m03709	N/A	TGME49_202300	3.6.1.19 (Transferred entry: 3.6.1.9)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202310	TGME49_202310-t26_1	protein coding gene	20.m03710	N/A	TGME49_202310	3.4.24.57 (O-sialoglycoprotein endopeptidase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202330	TGME49_202330-t26_1	protein coding gene	20.m07357	N/A	TGME49_202330	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202340	TGME49_202340-t26_1	protein coding gene	20.m03711	N/A	TGME49_202340	1.5.99.8 (Transferred entry: 1.5.5.2)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202350	TGME49_202350-t26_1	protein coding gene	20.m05957	N/A	TGME49_202350	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202360	TGME49_202360-t26_1	protein coding gene	20.m03712	N/A	TGME49_202360	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202370	TGME49_202370-t26_1	protein coding gene	20.m00349	N/A	TGME49_202370	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202380	TGME49_202380-t26_1	protein coding gene	20.m00348	N/A	TGME49_202380	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202390	TGME49_202390-t26_1	protein coding gene	20.m03715	N/A	TGME49_202390	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202400	TGME49_202400-t26_1	protein coding gene	20.m03716	N/A	TGME49_202400	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202410	TGME49_202410-t26_1	protein coding gene	20.m03717	N/A	TGME49_202410	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202420	TGME49_202420-t26_1	protein coding gene	20.m03718	N/A	TGME49_202420	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202430	TGME49_202430-t26_1	protein coding gene	20.m03719	N/A	TGME49_202430	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202440	TGME49_202440-t26_1	protein coding gene	20.m05958	N/A	TGME49_202440	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202450	TGME49_202450-t26_1	protein coding gene	20.m05894	N/A	TGME49_202450	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202460	TGME49_202460-t26_1	protein coding gene	20.m03720	N/A	TGME49_202460	2.7.1.107 (Diacylglycerol kinase (ATP))	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202470	TGME49_202470-t26_1	protein coding gene	20.m03721	N/A	TGME49_202470	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202480	TGME49_202480-t26_1	protein coding gene	20.m05959	N/A	TGME49_202480	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202490	TGME49_202490-t26_1	protein coding gene	20.m03722	AP2VIIA7	TGME49_202490	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202500	TGME49_202500-t26_1	protein coding gene	20.m00003	N/A	TGME49_202500	N/A	N/A	N/A	GO:0070258	TGME49_chrVIIa	
TGME49_202510	TGME49_202510-t26_1	protein coding gene	20.m03724	N/A	TGME49_202510	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202520	TGME49_202520-t26_1	protein coding gene	20.m03725	N/A	TGME49_202520	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202530	TGME49_202530-t26_1	protein coding gene	20.m03726	N/A	TGME49_202530	6.1.1.12 (Aspartate--tRNA ligase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202540	TGME49_202540-t26_1	protein coding gene	20.m03727	N/A	TGME49_202540	3.1.4.17 (3',5'-cyclic-nucleotide phosphodiesterase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202550	TGME49_202550-t26_1	protein coding gene	20.m03728	N/A	TGME49_202550	3.1.3.16 (Protein-serine/threonine phosphatase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202568	TGME49_202568-t26_1	protein coding gene	20.m03729	N/A	TGME49_202568	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202572	TGME49_202572-t26_1	protein coding gene	20.m03729	N/A	TGME49_202572	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202580	TGME49_202580-t26_1	protein coding gene	20.m03730	N/A	TGME49_202580	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202590	TGME49_202590-t26_1	protein coding gene	20.m03731	N/A	TGME49_202590	2.3.2.6 (Lysine/arginine leucyltransferase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202600	TGME49_202600-t26_1	protein coding gene	20.m07359	N/A	TGME49_202600	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202610	TGME49_202610-t26_1	protein coding gene	20.m00347	N/A	TGME49_202610	3.1.3.16 (Protein-serine/threonine phosphatase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202620	TGME49_202620-t26_1	protein coding gene	20.m03733	N/A	TGME49_202620	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202630	TGME49_202630-t26_1	protein coding gene	20.m00332	N/A	TGME49_202630	3.6.4.3 (Transferred entry: 5.6.1.1)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202640	TGME49_202640-t26_1	protein coding gene	20.m03736	N/A	TGME49_202640	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202650	TGME49_202650-t26_1	protein coding gene	20.m05994	N/A	TGME49_202650	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202680	TGME49_202680-t26_1	protein coding gene	20.m00004	N/A	TGME49_202680	3.4.24.64 (Mitochondrial processing peptidase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202690	TGME49_202690-t26_1	protein coding gene	20.m03740	POLR2I	TGME49_202690	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202700	TGME49_202700-t26_1	protein coding gene	20.m05954	N/A	TGME49_202700	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202720	TGME49_202720-t26_1	protein coding gene	20.m03741	N/A	TGME49_202720	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202730	TGME49_202730-t26_1	protein coding gene	20.m03742	N/A	TGME49_202730	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202740	TGME49_202740-t26_1	protein coding gene	20.m03743	N/A	TGME49_202740	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202750	TGME49_202750-t26_1	protein coding gene	20.m05960	N/A	TGME49_202750	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202760	TGME49_202760-t26_1	protein coding gene	20.m03744	N/A	TGME49_202760	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202770	TGME49_202770-t26_1	protein coding gene	20.m03745	N/A	TGME49_202770	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202780	TGME49_202780-t26_1	protein coding gene	20.m05875	ROP25	TGME49_202780	2.7.11.17 (Calcium/calmodulin-dependent protein kinase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202790	TGME49_202790-t26_1	protein coding gene	20.m03746	N/A	TGME49_202790	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202800	TGME49_202800-t26_1	protein coding gene	20.m03979	N/A	TGME49_202800	1.9.3.1 (Transferred entry: 7.1.1.9)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202810	TGME49_202810-t26_1	protein coding gene	20.m05961	N/A	TGME49_202810	N/A	N/A	N/A	GO:0005783	TGME49_chrVIIa	
TGME49_202820	TGME49_202820-t26_1	protein coding gene	20.m03747	N/A	TGME49_202820	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202830	TGME49_202830-t26_1	protein coding gene	20.m03748	N/A	TGME49_202830	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202840	TGME49_202840-t26_1	protein coding gene	20.m03749	N/A	TGME49_202840	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202850	TGME49_202850-t26_1	protein coding gene	20.m03750	N/A	TGME49_202850	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202860	TGME49_202860-t26_1	protein coding gene	20.m07349	N/A	TGME49_202860	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202870	TGME49_202870-t26_1	protein coding gene	20.m05962	N/A	TGME49_202870	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202880	TGME49_202880-t26_1	protein coding gene	20.m05962	N/A	TGME49_202880	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202890	TGME49_202890-t26_1	protein coding gene	20.m03751	N/A	TGME49_202890	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202910	TGME49_202910-t26_1	protein coding gene	20.m03752	N/A	TGME49_202910	3.4.17.1 (Carboxypeptidase A)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202920	TGME49_202920-t26_1	protein coding gene	20.m03753	N/A	TGME49_202920	2.6.1.85 (Aminodeoxychorismate synthase);4.1.3.27 (Anthranilate synthase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202930	TGME49_202930-t26_1	protein coding gene	20.m05963	N/A	TGME49_202930	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202940	TGME49_202940-t26_1	protein coding gene	20.m03755	N/A	TGME49_202940	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202950	TGME49_202950-t26_1	protein coding gene	20.m03756	N/A	TGME49_202950	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202960	TGME49_202960-t26_1	protein coding gene	20.m03757	N/A	TGME49_202960	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202970	TGME49_202970-t26_1	protein coding gene	20.m05965, 20.m05987	N/A	TGME49_202970	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202980	TGME49_202980-t26_1	protein coding gene	20.m03759	N/A	TGME49_202980	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_202990	TGME49_202990-t26_1	protein coding gene	20.m07348	N/A	TGME49_202990	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203000	TGME49_203000-t26_1	protein coding gene	20.m05966	N/A	TGME49_203000	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203010	TGME49_203010-t26_1	protein coding gene	20.m03760	N/A	TGME49_203010	2.7.11.18 ([Myosin light-chain] kinase)	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203020	TGME49_203020-t26_1	protein coding gene	20.m03761	N/A	TGME49_203020	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203030	TGME49_203030-t26_1	protein coding gene	20.m00334	N/A	TGME49_203030	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203040	TGME49_203040-t26_1	protein coding gene	20.m03763	N/A	TGME49_203040	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203050	TGME49_203050-t26_1	protein coding gene	20.m03764	AP2VIIA6	TGME49_203050	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203060	TGME49_203060-t26_1	protein coding gene	20.m03765	N/A	TGME49_203060	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203070	TGME49_203070-t26_1	protein coding gene	20.m00344	N/A	TGME49_203070	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203080	TGME49_203080-t26_1	protein coding gene	20.m03766	N/A	TGME49_203080	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203090	TGME49_203090-t26_1	protein coding gene	20.m05988	N/A	TGME49_203090	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
TGME49_203100	TGME49_203100-t26_1	protein coding gene	20.m05968	N/A	TGME49_203100	N/A	N/A	N/A	N/A	TGME49_chrVIIa	
