Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_282220	74.m00466	AP2VIIA9	-0.269093445	0	-0.80483039	-1	-0.444716583	-1	-0.077363692	0	-0.736061584	-1	-0.169618691	0
TGME49_288950	80.m02181	AP2IX4	1.572574941	1	0.597911908	1	0.206893303	0	0.206987997	0	0.558340782	1	1.711611512	1
TGME49_289710	80.m02236	AP2IX5	-1.419445734	-1	-1.458721479	-1	-1.538030459	-1	-1.492446942	-1	-2.0603719	-1	-1.541434426	-1
TGME49_290180	80.m03968	AP2IX6	-1.377655747	-1	-0.808928873	-1	-1.299602772	-1	-1.087895002	-1	-1.389152454	-1	-0.732902051	-1
TGME49_291040	80.m00010	LDH2	-0.620602635	-1	-1.3362626	-1	0.457907757	0	3.36831092	1	3.297202268	1	4.750833217	1
TGME49_299150	129.m00257	AP2III3	-1.34803538	-1	-1.516928267	-1	-3.837527159	-1	-3.647216471	-1	-4.136777879	-1	-3.331447417	-1
TGME49_309410	583.m05290	AP2XI1	-0.272360471	0	-0.612159876	-1	-0.293432356	0	-0.639548586	-1	-0.499458798	0	-0.612594454	-1
TGME49_315760	583.m05707	AP2XI4	0.899191206	1	0.606082198	1	-0.22912274	0	-0.330858018	0	-0.805480732	-1	0.035677191	0
TGME49_318330	641.m01473	MYSTA	-0.513293642	-1	-0.533358794	-1	-0.528123382	-1	-0.496485904	-1	-0.457883441	0	-0.398161488	0
TGME49_320680	641.m01593	AP2IV2	-0.954412997	-1	-0.975900178	-1	-0.909232992	-1	-1.336240814	-1	-0.868986771	-1	-1.308429423	-1
TGME49_320700	641.m01594	AP2IV1	-0.853008003	-1	-0.510829592	-1	-0.402556529	0	-0.287718139	0	-0.52660919	-1	-0.55898005	-1
